"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Type of Role","Type of Duty","Percentage of this ethnic group in this year in this role in this area (excluding where ethnicity is not known)","Total number of this ethnic group in this year in this role in this area"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 35","2019","Year","Nottinghamshire","Firefighters","All","0.9","6"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 36","2019","Year","Oxfordshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 37","2019","Year","Shropshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 38","2019","Year","South Yorkshire","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 39","2019","Year","Staffordshire","Firefighters","All","1.5","10"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 40","2019","Year","Suffolk","Firefighters","All","0","0"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 41","2019","Year","Surrey","Firefighters","All","0.7","4"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 42","2019","Year","Tyne and Wear","Firefighters","All","0.5","3"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 43","2019","Year","Warwickshire","Firefighters","All","0.9","3"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 44","2019","Year","West Midlands","Firefighters","All","1.7","24"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 45","2019","Year","West Sussex","Firefighters","All","0","0"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 46","2019","Year","West Yorkshire","Firefighters","All","1.7","18"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 48","2019","Year","Avon","Firefighters","All","0.8","5"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 49","2019","Year","Bedfordshire","Firefighters","All","1","4"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 50","2019","Year","Berkshire","Firefighters","All","0.7","3"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 51","2019","Year","Buckinghamshire","Firefighters","All","0.6","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 52","2019","Year","Cambridgeshire","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 53","2019","Year","Cheshire","Firefighters","All","0.5","3"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 54","2019","Year","Cleveland","Firefighters","All","0.5","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 55","2019","Year","Cornwall","Firefighters","All","0.4","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 56","2019","Year","Cumbria","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 57","2019","Year","Derbyshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 58","2019","Year","Devon and Somerset","Firefighters","All","0.1","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 59","2019","Year","Dorset and Wiltshire","Firefighters","All","0.2","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 60","2019","Year","Durham","Firefighters","All","0.9","4"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 61","2019","Year","East Sussex","Firefighters","All","0.4","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 62","2019","Year","Essex","Firefighters","All","0.4","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 63","2019","Year","Gloucestershire","Firefighters","All","0.6","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 64","2019","Year","Greater London","Firefighters","All","5.3","247"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 65","2019","Year","Greater Manchester","Firefighters","All","1.1","13"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 66","2019","Year","Hampshire","Firefighters","All","0.1","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 67","2019","Year","Hereford and Worcester","Firefighters","All","0","0"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 68","2019","Year","Hertfordshire","Firefighters","All","0.8","5"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 69","2019","Year","Humberside","Firefighters","All","0.5","4"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 70","2019","Year","Isle Of Wight","Firefighters","All","0","0"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 71","2019","Year","Isles of Scilly","Firefighters","All","2.4","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 72","2019","Year","Kent","Firefighters","All","0.3","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 73","2019","Year","Lancashire","Firefighters","All","0.3","3"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 74","2019","Year","Leicestershire","Firefighters","All","0.4","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 75","2019","Year","Lincolnshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 76","2019","Year","Merseyside","Firefighters","All","0.9","7"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 77","2019","Year","Norfolk","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 78","2019","Year","North Yorkshire","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 79","2019","Year","Northamptonshire","Firefighters","All","0.3","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 80","2019","Year","Northumberland","Firefighters","All","0","0"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 81","2019","Year","Nottinghamshire","Firefighters","All","0.9","6"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 82","2019","Year","Oxfordshire","Firefighters","All","0.4","2"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 83","2019","Year","Shropshire","Firefighters","All","1","4"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 84","2019","Year","South Yorkshire","Firefighters","All","1.2","8"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 85","2019","Year","Staffordshire","Firefighters","All","0.9","6"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 86","2019","Year","Suffolk","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 87","2019","Year","Surrey","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 88","2019","Year","Tyne and Wear","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 89","2019","Year","Warwickshire","Firefighters","All","1.3","4"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 90","2019","Year","West Midlands","Firefighters","All","4.2","58"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 91","2019","Year","West Sussex","Firefighters","All","0","0"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 92","2019","Year","West Yorkshire","Firefighters","All","1.1","12"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 94","2019","Year","Avon","Firefighters","All","0.8","5"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 95","2019","Year","Bedfordshire","Firefighters","All","2.7","11"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 96","2019","Year","Berkshire","Firefighters","All","1.3","6"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 97","2019","Year","Buckinghamshire","Firefighters","All","2.2","7"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 98","2019","Year","Cambridgeshire","Firefighters","All","2","8"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 99","2019","Year","Cheshire","Firefighters","All","0.6","4"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 100","2019","Year","Cleveland","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 101","2019","Year","Cornwall","Firefighters","All","0.9","4"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 102","2019","Year","Cumbria","Firefighters","All","0","0"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 103","2019","Year","Derbyshire","Firefighters","All","0.8","5"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 104","2019","Year","Devon and Somerset","Firefighters","All","0.6","9"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 105","2019","Year","Dorset and Wiltshire","Firefighters","All","0.6","5"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 106","2019","Year","Durham","Firefighters","All","1.4","6"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 107","2019","Year","East Sussex","Firefighters","All","2.3","13"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 108","2019","Year","Essex","Firefighters","All","1.3","7"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 109","2019","Year","Gloucestershire","Firefighters","All","1.2","4"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 110","2019","Year","Greater London","Firefighters","All","4.8","220"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 111","2019","Year","Greater Manchester","Firefighters","All","2.9","35"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 112","2019","Year","Hampshire","Firefighters","All","0.5","6"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 113","2019","Year","Hereford and Worcester","Firefighters","All","1.9","11"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 114","2019","Year","Hertfordshire","Firefighters","All","1.2","8"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 115","2019","Year","Humberside","Firefighters","All","0.8","6"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 116","2019","Year","Isle Of Wight","Firefighters","All","0","0"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 117","2019","Year","Isles of Scilly","Firefighters","All","0","0"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 118","2019","Year","Kent","Firefighters","All","0.5","4"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 119","2019","Year","Lancashire","Firefighters","All","1.1","11"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 120","2019","Year","Leicestershire","Firefighters","All","1.8","9"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 121","2019","Year","Lincolnshire","Firefighters","All","1.2","7"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 122","2019","Year","Merseyside","Firefighters","All","3.7","29"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 123","2019","Year","Norfolk","Firefighters","All","0.3","2"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 124","2019","Year","North Yorkshire","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 125","2019","Year","Northamptonshire","Firefighters","All","1.7","5"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 126","2019","Year","Northumberland","Firefighters","All","0.7","2"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 127","2019","Year","Nottinghamshire","Firefighters","All","2.2","15"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 128","2019","Year","Oxfordshire","Firefighters","All","1","5"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 129","2019","Year","Shropshire","Firefighters","All","0.3","1"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 130","2019","Year","South Yorkshire","Firefighters","All","2","13"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 131","2019","Year","Staffordshire","Firefighters","All","0.7","5"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 132","2019","Year","Suffolk","Firefighters","All","1.4","6"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 133","2019","Year","Surrey","Firefighters","All","1.2","7"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 134","2019","Year","Tyne and Wear","Firefighters","All","1","6"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 135","2019","Year","Warwickshire","Firefighters","All","0.9","3"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 136","2019","Year","West Midlands","Firefighters","All","3.8","52"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 137","2019","Year","West Sussex","Firefighters","All","0.4","2"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 138","2019","Year","West Yorkshire","Firefighters","All","1","11"
"Fire and rescue service workforce ","White","ONS 2001 5 + 140","2019","Year","Avon","Firefighters","All","97.8","614"
"Fire and rescue service workforce ","White","ONS 2001 5 + 141","2019","Year","Bedfordshire","Firefighters","All","96.1","396"
"Fire and rescue service workforce ","White","ONS 2001 5 + 142","2019","Year","Berkshire","Firefighters","All","97.3","438"
"Fire and rescue service workforce ","White","ONS 2001 5 + 143","2019","Year","Buckinghamshire","Firefighters","All","96.9","308"
"Fire and rescue service workforce ","White","ONS 2001 5 + 144","2019","Year","Cambridgeshire","Firefighters","All","97.3","391"
"Fire and rescue service workforce ","White","ONS 2001 5 + 145","2019","Year","Cheshire","Firefighters","All","98","645"
"Fire and rescue service workforce ","White","ONS 2001 5 + 146","2019","Year","Cleveland","Firefighters","All","98.6","433"
"Fire and rescue service workforce ","White","ONS 2001 5 + 147","2019","Year","Cornwall","Firefighters","All","98.5","456"
"Fire and rescue service workforce ","White","ONS 2001 5 + 148","2019","Year","Cumbria","Firefighters","All","99.3","442"
"Fire and rescue service workforce ","White","ONS 2001 5 + 149","2019","Year","Derbyshire","Firefighters","All","98.3","633"
"Fire and rescue service workforce ","White","ONS 2001 5 + 150","2019","Year","Devon and Somerset","Firefighters","All","99.2","1556"
"Fire and rescue service workforce ","White","ONS 2001 5 + 151","2019","Year","Dorset and Wiltshire","Firefighters","All","98.7","866"
"Fire and rescue service workforce ","White","ONS 2001 5 + 152","2019","Year","Durham","Firefighters","All","97.7","418"
"Fire and rescue service workforce ","White","ONS 2001 5 + 153","2019","Year","East Sussex","Firefighters","All","96.9","539"
"Fire and rescue service workforce ","White","ONS 2001 5 + 154","2019","Year","Essex","Firefighters","All","97.8","524"
"Fire and rescue service workforce ","White","ONS 2001 5 + 155","2019","Year","Gloucestershire","Firefighters","All","97","322"
"Fire and rescue service workforce ","White","ONS 2001 5 + 156","2019","Year","Greater London","Firefighters","All","86.6","4004"
"Fire and rescue service workforce ","White","ONS 2001 5 + 157","2019","Year","Greater Manchester","Firefighters","All","94.9","1146"
"Fire and rescue service workforce ","White","ONS 2001 5 + 158","2019","Year","Hampshire","Firefighters","All","99","1191"
"Fire and rescue service workforce ","White","ONS 2001 5 + 159","2019","Year","Hereford and Worcester","Firefighters","All","97.7","560"
"Fire and rescue service workforce ","White","ONS 2001 5 + 160","2019","Year","Hertfordshire","Firefighters","All","96.3","632"
"Fire and rescue service workforce ","White","ONS 2001 5 + 161","2019","Year","Humberside","Firefighters","All","98.6","773"
"Fire and rescue service workforce ","White","ONS 2001 5 + 162","2019","Year","Isle Of Wight","Firefighters","All","100","151"
"Fire and rescue service workforce ","White","ONS 2001 5 + 163","2019","Year","Isles of Scilly","Firefighters","All","97.6","41"
"Fire and rescue service workforce ","White","ONS 2001 5 + 164","2019","Year","Kent","Firefighters","All","98.4","744"
"Fire and rescue service workforce ","White","ONS 2001 5 + 165","2019","Year","Lancashire","Firefighters","All","97","1014"
"Fire and rescue service workforce ","White","ONS 2001 5 + 166","2019","Year","Leicestershire","Firefighters","All","97.5","501"
"Fire and rescue service workforce ","White","ONS 2001 5 + 167","2019","Year","Lincolnshire","Firefighters","All","98.5","580"
"Fire and rescue service workforce ","White","ONS 2001 5 + 168","2019","Year","Merseyside","Firefighters","All","94.1","744"
"Fire and rescue service workforce ","White","ONS 2001 5 + 169","2019","Year","Norfolk","Firefighters","All","99.4","624"
"Fire and rescue service workforce ","White","ONS 2001 5 + 170","2019","Year","North Yorkshire","Firefighters","All","99","571"
"Fire and rescue service workforce ","White","ONS 2001 5 + 171","2019","Year","Northamptonshire","Firefighters","All","98","290"
"Fire and rescue service workforce ","White","ONS 2001 5 + 172","2019","Year","Northumberland","Firefighters","All","99.3","274"
"Fire and rescue service workforce ","White","ONS 2001 5 + 173","2019","Year","Nottinghamshire","Firefighters","All","96","651"
"Fire and rescue service workforce ","White","ONS 2001 5 + 174","2019","Year","Oxfordshire","Firefighters","All","98.3","511"
"Fire and rescue service workforce ","White","ONS 2001 5 + 175","2019","Year","Shropshire","Firefighters","All","98.7","385"
"Fire and rescue service workforce ","White","ONS 2001 5 + 176","2019","Year","South Yorkshire","Firefighters","All","96.2","627"
"Fire and rescue service workforce ","White","ONS 2001 5 + 177","2019","Year","Staffordshire","Firefighters","All","96.9","667"
"Fire and rescue service workforce ","White","ONS 2001 5 + 178","2019","Year","Suffolk","Firefighters","All","97.7","421"
"Fire and rescue service workforce ","White","ONS 2001 5 + 179","2019","Year","Surrey","Firefighters","All","97.9","550"
"Fire and rescue service workforce ","White","ONS 2001 5 + 180","2019","Year","Tyne and Wear","Firefighters","All","97.7","561"
"Fire and rescue service workforce ","White","ONS 2001 5 + 181","2019","Year","Warwickshire","Firefighters","All","96.8","307"
"Fire and rescue service workforce ","White","ONS 2001 5 + 182","2019","Year","West Midlands","Firefighters","All","89.7","1238"
"Fire and rescue service workforce ","White","ONS 2001 5 + 183","2019","Year","West Sussex","Firefighters","All","99.4","505"
"Fire and rescue service workforce ","White","ONS 2001 5 + 184","2019","Year","West Yorkshire","Firefighters","All","95.9","1041"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 186","2019","Year","Avon","Firefighters","All","0.6","4"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 187","2019","Year","Bedfordshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 188","2019","Year","Berkshire","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 189","2019","Year","Buckinghamshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 190","2019","Year","Cambridgeshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 191","2019","Year","Cheshire","Firefighters","All","0.5","3"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 192","2019","Year","Cleveland","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 193","2019","Year","Cornwall","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 194","2019","Year","Cumbria","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 195","2019","Year","Derbyshire","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 196","2019","Year","Devon and Somerset","Firefighters","All","0.2","3"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 197","2019","Year","Dorset and Wiltshire","Firefighters","All","0.5","4"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 198","2019","Year","Durham","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 199","2019","Year","East Sussex","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 200","2019","Year","Essex","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 201","2019","Year","Gloucestershire","Firefighters","All","0.3","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 202","2019","Year","Greater London","Firefighters","All","1.4","66"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 203","2019","Year","Greater Manchester","Firefighters","All","0.2","2"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 204","2019","Year","Hampshire","Firefighters","All","0.2","2"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 205","2019","Year","Hereford and Worcester","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 206","2019","Year","Hertfordshire","Firefighters","All","0.6","4"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 207","2019","Year","Humberside","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 208","2019","Year","Isle Of Wight","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 209","2019","Year","Isles of Scilly","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 210","2019","Year","Kent","Firefighters","All","0.7","5"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 211","2019","Year","Lancashire","Firefighters","All","0.5","5"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 212","2019","Year","Leicestershire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 213","2019","Year","Lincolnshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 214","2019","Year","Merseyside","Firefighters","All","1.4","11"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 215","2019","Year","Norfolk","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 216","2019","Year","North Yorkshire","Firefighters","All","0.3","2"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 217","2019","Year","Northamptonshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 218","2019","Year","Northumberland","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 219","2019","Year","Nottinghamshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 220","2019","Year","Oxfordshire","Firefighters","All","0.4","2"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 221","2019","Year","Shropshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 222","2019","Year","South Yorkshire","Firefighters","All","0.5","3"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 223","2019","Year","Staffordshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 224","2019","Year","Suffolk","Firefighters","All","0.7","3"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 225","2019","Year","Surrey","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 226","2019","Year","Tyne and Wear","Firefighters","All","0.5","3"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 227","2019","Year","Warwickshire","Firefighters","All","0","0"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 228","2019","Year","West Midlands","Firefighters","All","0.6","8"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 229","2019","Year","West Sussex","Firefighters","All","0.2","1"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 230","2019","Year","West Yorkshire","Firefighters","All","0.4","4"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 232","2019","Year","Avon","Firefighters","All","N/A","64"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 233","2019","Year","Bedfordshire","Firefighters","All","N/A","17"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 234","2019","Year","Berkshire","Firefighters","All","N/A","1"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 235","2019","Year","Buckinghamshire","Firefighters","All","N/A","34"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 236","2019","Year","Cambridgeshire","Firefighters","All","N/A","14"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 237","2019","Year","Cheshire","Firefighters","All","N/A","14"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 238","2019","Year","Cleveland","Firefighters","All","N/A","0"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 239","2019","Year","Cornwall","Firefighters","All","N/A","130"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 240","2019","Year","Cumbria","Firefighters","All","N/A","137"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 241","2019","Year","Derbyshire","Firefighters","All","N/A","27"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 242","2019","Year","Devon and Somerset","Firefighters","All","N/A","104"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 243","2019","Year","Dorset and Wiltshire","Firefighters","All","N/A","128"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 244","2019","Year","Durham","Firefighters","All","N/A","47"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 245","2019","Year","East Sussex","Firefighters","All","N/A","31"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 246","2019","Year","Essex","Firefighters","All","N/A","593"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 247","2019","Year","Gloucestershire","Firefighters","All","N/A","84"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 248","2019","Year","Greater London","Firefighters","All","N/A","62"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 249","2019","Year","Greater Manchester","Firefighters","All","N/A","160"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 250","2019","Year","Hampshire","Firefighters","All","N/A","152"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 251","2019","Year","Hereford and Worcester","Firefighters","All","N/A","17"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 252","2019","Year","Hertfordshire","Firefighters","All","N/A","28"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 253","2019","Year","Humberside","Firefighters","All","N/A","52"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 254","2019","Year","Isle Of Wight","Firefighters","All","N/A","21"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 255","2019","Year","Isles of Scilly","Firefighters","All","N/A","0"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 256","2019","Year","Kent","Firefighters","All","N/A","383"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 257","2019","Year","Lancashire","Firefighters","All","N/A","27"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 258","2019","Year","Leicestershire","Firefighters","All","N/A","37"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 259","2019","Year","Lincolnshire","Firefighters","All","N/A","18"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 260","2019","Year","Merseyside","Firefighters","All","N/A","11"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 261","2019","Year","Norfolk","Firefighters","All","N/A","100"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 262","2019","Year","North Yorkshire","Firefighters","All","N/A","80"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 263","2019","Year","Northamptonshire","Firefighters","All","N/A","146"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 264","2019","Year","Northumberland","Firefighters","All","N/A","12"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 265","2019","Year","Nottinghamshire","Firefighters","All","N/A","37"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 266","2019","Year","Oxfordshire","Firefighters","All","N/A","55"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 267","2019","Year","Shropshire","Firefighters","All","N/A","121"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 268","2019","Year","South Yorkshire","Firefighters","All","N/A","1"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 269","2019","Year","Staffordshire","Firefighters","All","N/A","2"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 270","2019","Year","Suffolk","Firefighters","All","N/A","160"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 271","2019","Year","Surrey","Firefighters","All","N/A","32"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 272","2019","Year","Tyne and Wear","Firefighters","All","N/A","27"
